«¯”Ú1,«¯”Ú2,æ‡¿Î
9,75,428217
75,9,428217
9,77,440956
77,9,440956
10,14,78049
14,10,78049
10,15,67746
15,10,67746
10,17,31484
17,10,31484
10,22,22707
22,10,22707
10,24,104859
24,10,104859
10,26,86632
26,10,86632
10,27,112113
27,10,112113
10,29,103157
29,10,103157
10,30,114096
30,10,114096
10,31,86125
31,10,86125
10,34,113399
34,10,113399
10,36,87847
36,10,87847
10,39,84411
39,10,84411
10,38,290610
38,10,290610
10,41,344380
41,10,344380
10,45,336693
45,10,336693
10,47,308921
47,10,308921
10,48,392136
48,10,392136
10,52,367544
52,10,367544
10,54,290227
54,10,290227
10,55,413892
55,10,413892
10,57,347574
57,10,347574
10,60,314812
60,10,314812
10,63,371034
63,10,371034
10,64,408507
64,10,408507
10,65,328524
65,10,328524
10,66,243167
66,10,243167
10,69,352707
69,10,352707
10,71,308082
71,10,308082
10,73,418829
73,10,418829
10,74,387371
74,10,387371
10,76,289611
76,10,289611
10,78,382416
78,10,382416
10,79,410898
79,10,410898
10,2,394024
2,10,394024
10,4,451564
4,10,451564
10,5,442574
5,10,442574
10,6,434413
6,10,434413
10,7,383304
7,10,383304
10,8,410236
8,10,410236
10,11,461988
11,10,461988
10,12,387556
12,10,387556
10,13,367346
13,10,367346
10,16,330405
16,10,330405
10,18,483216
18,10,483216
10,19,426011
19,10,426011
10,20,490341
20,10,490341
10,21,514973
21,10,514973
10,23,520849
23,10,520849
10,25,460387
25,10,460387
10,28,481750
28,10,481750
10,32,404282
32,10,404282
10,33,360357
33,10,360357
10,35,452267
35,10,452267
10,37,455740
37,10,455740
10,40,483609
40,10,483609
10,42,481332
42,10,481332
10,43,491295
43,10,491295
10,44,466558
44,10,466558
10,46,482573
46,10,482573
10,49,508640
49,10,508640
10,50,488243
50,10,488243
10,51,418788
51,10,418788
10,53,454977
53,10,454977
10,56,483812
56,10,483812
10,58,493208
58,10,493208
10,59,494161
59,10,494161
10,61,486979
61,10,486979
10,62,390306
62,10,390306
10,67,504490
67,10,504490
10,68,465194
68,10,465194
10,70,473410
70,10,473410
10,72,469025
72,10,469025
10,75,487085
75,10,487085
10,77,498909
77,10,498909
14,15,8537
15,14,8537
14,17,56209
17,14,56209
14,22,42998
22,14,42998
14,24,25464
24,14,25464
14,26,15953
26,14,15953
14,27,30215
27,14,30215
14,29,20033
29,14,20033
14,30,30126
30,14,30126
14,31,11480
31,14,11480
14,34,30212
34,14,30212
14,36,11997
36,14,11997
14,39,15386
39,14,15386
14,38,210377
38,14,210377
14,41,296381
41,14,296381
14,45,312080
45,14,312080
14,47,234906
47,14,234906
14,48,358054
48,14,358054
14,52,325618
52,14,325618
14,54,204290
54,14,204290
14,55,365354
55,14,365354
14,57,308724
57,14,308724
14,60,257411
60,14,257411
14,63,326606
63,14,326606
14,64,369582
64,14,369582
14,65,289415
65,14,289415
14,66,174269
66,14,174269
14,69,312407
69,14,312407
14,71,255058
71,14,255058
14,73,366568
73,14,366568
14,74,344164
74,14,344164
14,76,203354
76,14,203354
14,78,343733
78,14,343733
14,79,354741
79,14,354741
14,2,358440
2,14,358440
14,4,414299
4,14,414299
14,5,405776
5,14,405776
14,6,396384
6,14,396384
14,7,344657
7,14,344657
14,8,373653
8,14,373653
14,11,439017
11,14,439017
14,12,360494
12,14,360494
14,13,330344
13,14,330344
14,16,299316
16,14,299316
14,18,445906
18,14,445906
14,19,388840
19,14,388840
14,20,461279
20,14,461279
14,21,477353
21,14,477353
14,23,483045
23,14,483045
14,25,435877
25,14,435877
14,28,434401
28,14,434401
14,32,360021
32,14,360021
14,33,320439
33,14,320439
14,35,496789
35,14,496789
14,37,482066
37,14,482066
14,40,488030
40,14,488030
14,42,515652
42,14,515652
14,43,540099
43,14,540099
14,44,457302
44,14,457302
14,46,499881
46,14,499881
14,49,500967
49,14,500967
14,50,519842
50,14,519842
14,51,457370
51,14,457370
14,53,458018
53,14,458018
14,56,481201
56,14,481201
14,58,459135
58,14,459135
14,59,469267
59,14,469267
14,61,466805
61,14,466805
14,62,427424
62,14,427424
14,67,466091
67,14,466091
14,68,469393
68,14,469393
14,70,501818
70,14,501818
14,72,493991
72,14,493991
14,75,469067
75,14,469067
14,77,465409
77,14,465409
15,17,42266
17,15,42266
15,22,35722
22,15,35722
15,24,31546
24,15,31546
15,26,15251
26,15,15251
15,27,35764
27,15,35764
15,29,23820
29,15,23820
15,30,34320
30,15,34320
15,31,12243
31,15,12243
15,34,33363
34,15,33363
15,36,13937
36,15,13937
15,39,17285
39,15,17285
15,38,208365
38,15,208365
15,41,292493
41,15,292493
15,45,308960
45,15,308960
15,47,230327
47,15,230327
15,48,348748
48,15,348748
15,52,319790
52,15,319790
15,54,201146
54,15,201146
15,55,359407
55,15,359407
15,57,302706
57,15,302706
15,60,254126
60,15,254126
15,63,319599
63,15,319599
15,64,360051
64,15,360051
15,65,282751
65,15,282751
15,66,170163
66,15,170163
15,69,305124
69,15,305124
15,71,244329
71,15,244329
15,73,361161
73,15,361161
15,74,336206
74,15,336206
15,76,199640
76,15,199640
15,78,338212
78,15,338212
15,79,352286
79,15,352286
15,2,353540
2,15,353540
15,4,409738
4,15,409738
15,5,400781
5,15,400781
15,6,393347
6,15,393347
15,7,339249
7,15,339249
15,8,366332
8,15,366332
15,11,435743
11,15,435743
15,12,354363
12,15,354363
15,13,324612
13,15,324612
15,16,286209
16,15,286209
15,18,443145
18,15,443145
15,19,383806
19,15,383806
15,20,457887
20,15,457887
15,21,472218
21,15,472218
15,23,479287
23,15,479287
15,25,434001
25,15,434001
15,28,431337
28,15,431337
15,32,354739
32,15,354739
15,33,313928
33,15,313928
15,35,480923
35,15,480923
15,37,465769
37,15,465769
15,40,471454
40,15,471454
15,42,498115
42,15,498115
15,43,522805
43,15,522805
15,44,461938
44,15,461938
15,46,480122
46,15,480122
15,49,486836
49,15,486836
15,50,502499
50,15,502499
15,51,438663
51,15,438663
15,53,438834
53,15,438834
15,56,464667
56,15,464667
15,58,464527
58,15,464527
15,59,470813
59,15,470813
15,61,467910
61,15,467910
15,62,410010
62,15,410010
15,67,469146
67,15,469146
15,68,449434
68,15,449434
15,70,487538
70,15,487538
15,72,475288
72,15,475288
15,75,459033
75,15,459033
15,77,467975
77,15,467975
17,22,19868
22,17,19868
17,24,80837
24,17,80837
17,26,55445
26,17,55445
17,27,85551
27,17,85551
17,29,76324
29,17,76324
17,30,86686
30,17,86686
17,31,59269
31,17,59269
17,34,83972
34,17,83972
17,36,62252
36,17,62252
17,39,59247
39,17,59247
17,38,244801
38,17,244801
17,41,303789
41,17,303789
17,45,314816
45,17,314816
17,47,267453
47,17,267453
17,48,348506
48,17,348506
17,52,312382
52,17,312382
17,54,236061
54,17,236061
17,55,359882
55,17,359882
17,57,311999
57,17,311999
17,60,273729
60,17,273729
17,63,328189
63,17,328189
17,64,360027
64,17,360027
17,65,272519
65,17,272519
17,66,201180
66,17,201180
17,69,315960
69,17,315960
17,71,253426
71,17,253426
17,73,364787
73,17,364787
17,74,340383
74,17,340383
17,76,237022
76,17,237022
17,78,344413
78,17,344413
17,79,349729
79,17,349729
17,2,350083
2,17,350083
17,4,413441
4,17,413441
17,5,428992
5,17,428992
17,6,416615
6,17,416615
17,7,375429
7,17,375429
17,8,362158
8,17,362158
17,11,457069
11,17,457069
17,12,349997
12,17,349997
17,13,332567
13,17,332567
17,16,286999
16,17,286999
17,18,475458
18,17,475458
17,19,381988
19,17,381988
17,20,465624
20,17,465624
17,21,494069
21,17,494069
17,23,505652
23,17,505652
17,25,444420
25,17,444420
17,28,453491
28,17,453491
17,32,374599
32,17,374599
17,33,312388
33,17,312388
17,35,436882
35,17,436882
17,37,419903
37,17,419903
17,40,455042
40,17,455042
17,42,447311
42,17,447311
17,43,478358
43,17,478358
17,44,440297
44,17,440297
17,46,436149
46,17,436149
17,49,476520
49,17,476520
17,50,465917
50,17,465917
17,51,412746
51,17,412746
17,53,415345
53,17,415345
17,56,452885
56,17,452885
17,58,451373
58,17,451373
17,59,442535
59,17,442535
17,61,452836
61,17,452836
17,62,367756
62,17,367756
17,67,460531
67,17,460531
17,68,432372
68,17,432372
17,70,439880
70,17,439880
17,72,430123
72,17,430123
17,75,455490
75,17,455490
17,77,470041
77,17,470041
22,24,70899
24,22,70899
22,26,52660
26,22,52660
22,27,76565
27,22,76565
22,29,67438
29,22,67438
22,30,78362
30,22,78362
22,31,48254
31,22,48254
22,34,77323
34,22,77323
22,36,55134
36,22,55134
22,39,53441
39,22,53441
22,38,266985
38,22,266985
22,41,330399
41,22,330399
22,45,342305
45,22,342305
22,47,282391
47,22,282391
22,48,383105
48,22,383105
22,52,352346
52,22,352346
22,54,255849
54,22,255849
22,55,392571
55,22,392571
22,57,337272
57,22,337272
22,60,294055
60,22,294055
22,63,356436
63,22,356436
22,64,399947
64,22,399947
22,65,313802
65,22,313802
22,66,218120
66,22,218120
22,69,340126
69,22,340126
22,71,299649
71,22,299649
22,73,394510
73,22,394510
22,74,382565
74,22,382565
22,76,256252
76,22,256252
22,78,370835
78,22,370835
22,79,399093
79,22,399093
22,2,378942
2,22,378942
22,4,439074
4,22,439074
22,5,443136
5,22,443136
22,6,431893
6,22,431893
22,7,377531
7,22,377531
22,8,394605
8,22,394605
22,11,460014
11,22,460014
22,12,380698
12,22,380698
22,13,346592
13,22,346592
22,16,311280
16,22,311280
22,18,474681
18,22,474681
22,19,412757
19,22,412757
22,20,494234
20,22,494234
22,21,508424
21,22,508424
22,23,513359
23,22,513359
22,25,464898
25,22,464898
22,28,466951
28,22,466951
22,32,382707
32,22,382707
22,33,339359
33,22,339359
22,35,459103
35,22,459103
22,37,458681
37,22,458681
22,40,467652
40,22,467652
22,42,478609
42,22,478609
22,43,497348
43,22,497348
22,44,451978
44,22,451978
22,46,469788
46,22,469788
22,49,491382
49,22,491382
22,50,486854
50,22,486854
22,51,409530
51,22,409530
22,53,465372
53,22,465372
22,56,469310
56,22,469310
22,58,469645
58,22,469645
22,59,468557
59,22,468557
22,61,494920
61,22,494920
22,62,393045
62,22,393045
22,67,491887
67,22,491887
22,68,453220
68,22,453220
22,70,462864
70,22,462864
22,72,463613
72,22,463613
22,75,477040
75,22,477040
22,77,489045
77,22,489045
24,26,18639
26,24,18639
24,27,7113
27,24,7113
24,29,11182
29,24,11182
24,30,11362
30,24,11362
24,31,17220
31,24,17220
24,34,9751
34,24,9751
24,36,17789
36,24,17789
24,39,22136
39,24,22136
24,38,201377
38,24,201377
24,41,283859
41,24,283859
24,45,284540
45,24,284540
24,47,217080
47,24,217080
24,48,330677
48,24,330677
24,52,288896
52,24,288896
24,54,195494
54,24,195494
24,55,340917
55,24,340917
24,57,285037
57,24,285037
24,60,241330
60,24,241330
24,63,307159
63,24,307159
24,64,341086
64,24,341086
24,65,248724
65,24,248724
24,66,148393
66,24,148393
24,69,295661
69,24,295661
24,71,227690
71,24,227690
24,73,343124
73,24,343124
24,74,317348
74,24,317348
24,76,197909
76,24,197909
24,78,316751
78,24,316751
24,79,328966
79,24,328966
24,2,340148
2,24,340148
24,4,392545
4,24,392545
24,5,390489
5,24,390489
24,6,376443
6,24,376443
24,7,324474
7,24,324474
24,8,354593
8,24,354593
24,11,410670
11,24,410670
24,12,343013
12,24,343013
24,13,304595
13,24,304595
24,16,270686
16,24,270686
24,18,431843
18,24,431843
24,19,365731
19,24,365731
24,20,435140
20,24,435140
24,21,459458
21,24,459458
24,23,464842
23,24,464842
24,25,399992
25,24,399992
24,28,410897
28,24,410897
24,32,344006
32,24,344006
24,33,304913
33,24,304913
24,35,511575
35,24,511575
24,37,494372
37,24,494372
24,40,482946
40,24,482946
24,42,530306
42,24,530306
24,43,548462
43,24,548462
24,44,459274
44,24,459274
24,46,528381
46,24,528381
24,49,496764
49,24,496764
24,50,509700
50,24,509700
24,51,438193
51,24,438193
24,53,468087
53,24,468087
24,56,489880
56,24,489880
24,58,447808
58,24,447808
24,59,495297
59,24,495297
24,61,460977
61,24,460977
24,62,442558
62,24,442558
24,67,453521
67,24,453521
24,68,473358
68,24,473358
24,70,515565
70,24,515565
24,72,515929
72,24,515929
24,75,473613
75,24,473613
24,77,481856
77,24,481856
26,27,21743
27,26,21743
26,29,12771
29,26,12771
26,30,24143
30,26,24143
26,31,10744
31,26,10744
26,34,22225
34,26,22225
26,36,11204
36,26,11204
26,39,11571
39,26,11571
26,38,198763
38,26,198763
26,41,278273
41,26,278273
26,45,285265
45,26,285265
26,47,219344
47,26,219344
26,48,325056
48,26,325056
26,52,296462
52,26,296462
26,54,187325
54,26,187325
26,55,341385
55,26,341385
26,57,284839
57,26,284839
26,60,232297
60,26,232297
26,63,302252
63,26,302252
26,64,340789
64,26,340789
26,65,248496
65,26,248496
26,66,152772
66,26,152772
26,69,288063
69,26,288063
26,71,232906
71,26,232906
26,73,346523
73,26,346523
26,74,318876
74,26,318876
26,76,192700
76,26,192700
26,78,320602
78,26,320602
26,79,332555
79,26,332555
26,2,335756
2,26,335756
26,4,388713
4,26,388713
26,5,380894
5,26,380894
26,6,377201
6,26,377201
26,7,321567
7,26,321567
26,8,347630
8,26,347630
26,11,416304
11,26,416304
26,12,339169
12,26,339169
26,13,296432
13,26,296432
26,16,265508
16,26,265508
26,18,424565
18,26,424565
26,19,365220
19,26,365220
26,20,438514
20,26,438514
26,21,454205
21,26,454205
26,23,461809
23,26,461809
26,25,411899
25,26,411899
26,28,410324
28,26,410324
26,32,346133
32,26,346133
26,33,297997
33,26,297997
26,35,491652
35,26,491652
26,37,475540
37,26,475540
26,40,469228
40,26,469228
26,42,510139
42,26,510139
26,43,539525
43,26,539525
26,44,442537
44,26,442537
26,46,496268
46,26,496268
26,49,464371
49,26,464371
26,50,506776
50,26,506776
26,51,448374
51,26,448374
26,53,449982
53,26,449982
26,56,469857
56,26,469857
26,58,440292
58,26,440292
26,59,473465
59,26,473465
26,61,451251
61,26,451251
26,62,421899
62,26,421899
26,67,447138
67,26,447138
26,68,458246
68,26,458246
26,70,497374
70,26,497374
26,72,490927
72,26,490927
26,75,441026
75,26,441026
26,77,449981
77,26,449981
27,29,7788
29,27,7788
27,30,6179
30,27,6179
27,31,20505
31,27,20505
27,34,5084
34,27,5084
27,36,20826
36,27,20826
27,39,21782
39,27,21782
27,38,199930
38,27,199930
27,41,283116
41,27,283116
27,45,287967
45,27,287967
27,47,216124
47,27,216124
27,48,325614
48,27,325614
27,52,302302
52,27,302302
27,54,190572
54,27,190572
27,55,343011
55,27,343011
27,57,289050
57,27,289050
27,60,244760
60,27,244760
27,63,307017
63,27,307017
27,64,340530
64,27,340530
27,65,261566
65,27,261566
27,66,146747
66,27,146747
27,69,289284
69,27,289284
27,71,241177
71,27,241177
27,73,345261
73,27,345261
27,74,320367
74,27,320367
27,76,194149
76,27,194149
27,78,318716
78,27,318716
27,79,330149
79,27,330149
27,2,341418
2,27,341418
27,4,394102
4,27,394102
27,5,382236
5,27,382236
27,6,377204
6,27,377204
27,7,325696
7,27,325696
27,8,354841
8,27,354841
27,11,419262
11,27,419262
27,12,343393
12,27,343393
27,13,305457
13,27,305457
27,16,284291
16,27,284291
27,18,434456
18,27,434456
27,19,367762
19,27,367762
27,20,460417
20,27,460417
27,21,461767
21,27,461767
27,23,466875
23,27,466875
27,25,419286
25,27,419286
27,28,412976
28,27,412976
27,32,346688
32,27,346688
27,33,301759
33,27,301759
27,35,517744
35,27,517744
27,37,501254
37,27,501254
27,40,493482
40,27,493482
27,42,537957
42,27,537957
27,43,567137
43,27,567137
27,44,461788
44,27,461788
27,46,530468
46,27,530468
27,49,499420
49,27,499420
27,50,532311
50,27,532311
27,51,468882
51,27,468882
27,53,474512
53,27,474512
27,56,488923
56,27,488923
27,58,449835
58,27,449835
27,59,496262
59,27,496262
27,61,465963
61,27,465963
27,62,448349
62,27,448349
27,67,455813
67,27,455813
27,68,475396
68,27,475396
27,70,521256
70,27,521256
27,72,525181
72,27,525181
27,75,477568
75,27,477568
27,77,479462
77,27,479462
29,30,10858
30,29,10858
29,31,13968
31,29,13968
29,34,8678
34,29,8678
29,36,11786
36,29,11786
29,39,15668
39,29,15668
29,38,205056
38,29,205056
29,41,284890
41,29,284890
29,45,290315
45,29,290315
29,47,218044
47,29,218044
29,48,330131
48,29,330131
29,52,301868
52,29,301868
29,54,189750
54,29,189750
29,55,344179
55,29,344179
29,57,289885
57,29,289885
29,60,239968
60,29,239968
29,63,307984
63,29,307984
29,64,347995
64,29,347995
29,65,254168
65,29,254168
29,66,151069
66,29,151069
29,69,291078
69,29,291078
29,71,239914
71,29,239914
29,73,345739
73,29,345739
29,74,322496
74,29,322496
29,76,195206
76,29,195206
29,78,322113
78,29,322113
29,79,335856
79,29,335856
29,2,341710
2,29,341710
29,4,394997
4,29,394997
29,5,386331
5,29,386331
29,6,381112
6,29,381112
29,7,326900
7,29,326900
29,8,355848
8,29,355848
29,11,423630
11,29,423630
29,12,343510
12,29,343510
29,13,313049
13,29,313049
29,16,270849
16,29,270849
29,18,429098
18,29,429098
29,19,370112
19,29,370112
29,20,444265
20,29,444265
29,21,459946
21,29,459946
29,23,466128
23,29,466128
29,25,423267
25,29,423267
29,28,417324
28,29,417324
29,32,351175
32,29,351175
29,33,302296
33,29,302296
29,35,509464
35,29,509464
29,37,497077
37,29,497077
29,40,482213
40,29,482213
29,42,529792
42,29,529792
29,43,558626
43,29,558626
29,44,457265
44,29,457265
29,46,518024
46,29,518024
29,49,493188
49,29,493188
29,50,525769
50,29,525769
29,51,466058
51,29,466058
29,53,467680
53,29,467680
29,56,481839
56,29,481839
29,58,447201
58,29,447201
29,59,495968
59,29,495968
29,61,462182
61,29,462182
29,62,440259
62,29,440259
29,67,451569
67,29,451569
29,68,471640
68,29,471640
29,70,513341
70,29,513341
29,72,513001
72,29,513001
29,75,463365
75,29,463365
29,77,455244
77,29,455244
30,31,23227
31,30,23227
30,34,3675
34,30,3675
30,36,24640
36,30,24640
30,39,21054
39,30,21054
30,38,199185
38,30,199185
30,41,279618
41,30,279618
30,45,282804
45,30,282804
30,47,214523
47,30,214523
30,48,322149
48,30,322149
30,52,299641
52,30,299641
30,54,189774
54,30,189774
30,55,340729
55,30,340729
30,57,286443
57,30,286443
30,60,244068
60,30,244068
30,63,306029
63,30,306029
30,64,342320
64,30,342320
30,65,259718
65,30,259718
30,66,147822
66,30,147822
30,69,287461
69,30,287461
30,71,238264
71,30,238264
30,73,342325
73,30,342325
30,74,317422
74,30,317422
30,76,193567
76,30,193567
30,78,315760
78,30,315760
30,79,343227
79,30,343227
30,2,338454
2,30,338454
30,4,391244
4,30,391244
30,5,380224
5,30,380224
30,6,374184
6,30,374184
30,7,322787
7,30,322787
30,8,352308
8,30,352308
30,11,416654
11,30,416654
30,12,339839
12,30,339839
30,13,302099
13,30,302099
30,16,280282
16,30,280282
30,18,425039
18,30,425039
30,19,365627
19,30,365627
30,20,458474
20,30,458474
30,21,459261
21,30,459261
30,23,464300
23,30,464300
30,25,399057
25,30,399057
30,28,410422
28,30,410422
30,32,343811
32,30,343811
30,33,298417
33,30,298417
30,35,522516
35,30,522516
30,37,492308
37,30,492308
30,40,495426
40,30,495426
30,42,538345
42,30,538345
30,43,559784
43,30,559784
30,44,460640
44,30,460640
30,46,533349
46,30,533349
30,49,501370
49,30,501370
30,50,525483
50,30,525483
30,51,471039
51,30,471039
30,53,476212
53,30,476212
30,56,492035
56,30,492035
30,58,451466
58,30,451466
30,59,492847
59,30,492847
30,61,465042
61,30,465042
30,62,450202
62,30,450202
30,67,474429
67,30,474429
30,68,475098
68,30,475098
30,70,526319
70,30,526319
30,72,518559
72,30,518559
30,75,479431
75,30,479431
30,77,481807
77,30,481807
31,34,21183
34,31,21183
31,36,12832
36,31,12832
31,39,17589
39,31,17589
31,38,213574
38,31,213574
31,41,307522
41,31,307522
31,45,309670
45,31,309670
31,47,227724
47,31,227724
31,48,356105
48,31,356105
31,52,324236
52,31,324236
31,54,198729
54,31,198729
31,55,365207
55,31,365207
31,57,309663
57,31,309663
31,60,268150
60,31,268150
31,63,329568
63,31,329568
31,64,369776
64,31,369776
31,65,285011
65,31,285011
31,66,167903
66,31,167903
31,69,312029
69,31,312029
31,71,262608
71,31,262608
31,73,369771
73,31,369771
31,74,343115
74,31,343115
31,76,201339
76,31,201339
31,78,344697
78,31,344697
31,79,356694
79,31,356694
31,2,359381
2,31,359381
31,4,417681
4,31,417681
31,5,408984
5,31,408984
31,6,398290
6,31,398290
31,7,345730
7,31,345730
31,8,373161
8,31,373161
31,11,441835
11,31,441835
31,12,361890
12,31,361890
31,13,330869
13,31,330869
31,16,299692
16,31,299692
31,18,462000
18,31,462000
31,19,389379
19,31,389379
31,20,483092
20,31,483092
31,21,484239
21,31,484239
31,23,490598
23,31,490598
31,25,425819
25,31,425819
31,28,438559
28,31,438559
31,32,371318
32,31,371318
31,33,319847
33,31,319847
31,35,506734
35,31,506734
31,37,491592
37,31,491592
31,40,486212
40,31,486212
31,42,523078
42,31,523078
31,43,555563
43,31,555563
31,44,476879
44,31,476879
31,46,510709
46,31,510709
31,49,494544
49,31,494544
31,50,524378
50,31,524378
31,51,459639
51,31,459639
31,53,455340
53,31,455340
31,56,480180
56,31,480180
31,58,469361
58,31,469361
31,59,488738
59,31,488738
31,61,490221
61,31,490221
31,62,433292
62,31,433292
31,67,476370
67,31,476370
