区域1,区域2,长度
4,34,864
34,4,864
4,35,360
35,4,360
4,36,798
36,4,798
4,37,442
37,4,442
4,38,703
38,4,703
4,39,617
39,4,617
4,40,382
40,4,382
4,41,941
41,4,941
4,42,547
42,4,547
4,43,408
43,4,408
4,44,468
44,4,468
4,45,791
45,4,791
4,46,545
46,4,545
4,47,882
47,4,882
4,48,711
48,4,711
4,49,656
49,4,656
4,50,491
50,4,491
4,51,520
51,4,520
4,52,994
52,4,994
4,53,649
53,4,649
4,54,887
54,4,887
4,55,803
55,4,803
4,56,594
56,4,594
4,57,983
57,4,983
4,58,587
58,4,587
4,59,584
59,4,584
4,60,762
60,4,762
4,61,638
61,4,638
4,62,695
62,4,695
4,63,905
63,4,905
4,64,994
64,4,994
4,65,1086
65,4,1086
4,66,784
66,4,784
4,67,677
67,4,677
4,68,724
68,4,724
4,69,872
69,4,872
4,70,755
70,4,755
4,71,887
71,4,887
4,72,722
72,4,722
4,73,986
73,4,986
4,74,1066
74,4,1066
4,75,813
75,4,813
4,76,1148
76,4,1148
4,77,781
77,4,781
4,78,863
78,4,863
4,79,989
79,4,989
5,6,100
6,5,100
5,7,445
7,5,445
5,8,251
8,5,251
5,9,298
9,5,298
5,10,100
10,5,100
5,11,364
11,5,364
5,12,180
12,5,180
5,13,573
13,5,573
5,14,253
14,5,253
5,15,183
15,5,183
5,16,112
16,5,112
5,17,393
17,5,393
5,18,479
18,5,479
5,19,324
19,5,324
5,20,193
20,5,193
5,21,265
21,5,265
5,22,180
22,5,180
5,23,567
23,5,567
5,24,339
24,5,339
5,25,448
25,5,448
5,26,279
26,5,279
5,27,439
27,5,439
5,28,394
28,5,394
5,29,237
29,5,237
5,30,282
30,5,282
5,31,278
31,5,278
5,32,329
32,5,329
5,33,556
33,5,556
5,34,401
34,5,401
5,35,495
35,5,495
5,36,384
36,5,384
5,37,434
37,5,434
5,38,356
38,5,356
5,39,347
39,5,347
5,40,678
40,5,678
5,41,500
41,5,500
5,42,397
42,5,397
5,43,603
43,5,603
5,44,537
44,5,537
5,45,450
45,5,450
5,46,493
46,5,493
5,47,493
47,5,493
5,48,444
48,5,444
5,49,466
49,5,466
5,50,695
50,5,695
5,51,631
51,5,631
5,52,582
52,5,582
5,53,538
53,5,538
5,54,556
54,5,556
5,55,536
55,5,536
5,56,602
56,5,602
5,57,616
57,5,616
5,58,733
58,5,733
5,59,796
59,5,796
5,60,576
60,5,576
5,61,702
61,5,702
5,62,631
62,5,631
5,63,630
63,5,630
5,64,675
64,5,675
5,65,723
65,5,723
5,66,666
66,5,666
5,67,801
67,5,801
5,68,714
68,5,714
5,69,658
69,5,658
5,70,804
70,5,804
5,71,729
71,5,729
5,72,891
72,5,891
5,73,736
73,5,736
5,74,768
74,5,768
5,75,786
75,5,786
5,76,813
76,5,813
5,77,890
77,5,890
5,78,773
78,5,773
5,79,793
79,5,793
6,7,345
7,6,345
6,8,151
8,6,151
6,9,396
9,6,396
6,10,184
10,6,184
6,11,263
11,6,263
6,12,87
12,6,87
6,13,472
13,6,472
6,14,343
14,6,343
6,15,264
15,6,264
6,16,117
16,6,117
6,17,483
17,6,483
6,18,378
18,6,378
6,19,229
19,6,229
6,20,148
20,6,148
6,21,183
21,6,183
6,22,223
22,6,223
6,23,467
23,6,467
6,24,418
24,6,418
6,25,352
25,6,352
6,26,343
26,6,343
6,27,518
27,6,518
6,28,308
28,6,308
6,29,243
29,6,243
6,30,319
30,6,319
6,31,246
31,6,246
6,32,266
32,6,266
6,33,462
33,6,462
6,34,463
34,6,463
6,35,411
35,6,411
6,36,426
36,6,426
6,37,365
37,6,365
6,38,371
38,6,371
6,39,335
39,6,335
6,40,587
40,6,587
6,41,556
41,6,556
6,42,356
42,6,356
6,43,519
43,6,519
6,44,466
44,6,466
6,45,470
45,6,470
6,46,440
46,6,440
6,47,531
47,6,531
6,48,440
48,6,440
6,49,443
49,6,443
6,50,614
50,6,614
6,51,559
51,6,559
6,52,630
52,6,630
6,53,501
53,6,501
6,54,578
54,6,578
6,55,538
55,6,538
6,56,546
56,6,546
6,57,650
57,6,650
6,58,661
58,6,661
6,59,717
59,6,717
6,60,559
60,6,559
6,61,641
61,6,641
6,62,590
62,6,590
6,63,639
63,6,639
6,64,697
64,6,697
6,65,759
65,6,759
6,66,638
66,6,638
6,67,735
67,6,735
6,68,666
68,6,666
6,69,652
69,6,652
6,70,750
70,6,750
6,71,713
71,6,713
6,72,821
72,6,821
6,73,742
73,6,742
6,74,787
74,6,787
6,75,744
75,6,744
6,76,843
76,6,843
6,77,829
77,6,829
6,78,744
78,6,744
6,79,788
79,6,788
7,8,193
8,7,193
7,9,741
9,7,741
7,10,524
10,7,524
7,11,98
11,7,98
7,12,284
12,7,284
7,13,134
13,7,134
7,14,682
14,7,682
7,15,599
15,7,599
7,16,424
16,7,424
7,17,821
17,7,821
7,18,94
18,7,94
7,19,183
19,7,183
7,20,369
20,7,369
7,21,270
21,7,270
7,22,527
22,7,527
7,23,179
23,7,179
7,24,743
24,7,743
7,25,166
25,7,166
7,26,655
26,7,655
7,27,839
27,7,839
7,28,245
28,7,245
7,29,493
29,7,493
7,30,596
30,7,596
7,31,423
31,7,423
7,32,342
32,7,342
7,33,253
33,7,253
7,34,761
34,7,761
7,35,291
35,7,291
7,36,695
36,7,695
7,37,356
37,7,356
7,38,601
38,7,601
7,39,517
39,7,517
7,40,362
40,7,362
7,41,838
41,7,838
7,42,452
42,7,452
7,43,361
43,7,361
7,44,398
44,7,398
7,45,691
45,7,691
7,46,462
46,7,462
7,47,780
47,7,780
7,48,614
48,7,614
7,49,563
49,7,563
7,50,454
50,7,454
7,51,463
51,7,463
7,52,892
52,7,892
7,53,563
53,7,563
7,54,788
54,7,788
7,55,707
55,7,707
7,56,523
56,7,523
7,57,882
57,7,882
7,58,542
58,7,542
7,59,554
59,7,554
7,60,672
60,7,672
7,61,579
61,7,579
7,62,617
62,7,617
7,63,810
63,7,810
7,64,897
64,7,897
7,65,987
65,7,987
7,66,702
66,7,702
7,67,632
67,7,632
7,68,656
68,7,656
7,69,782
69,7,782
7,70,698
70,7,698
7,71,803
71,7,803
7,72,689
72,7,689
7,73,894
73,7,894
7,74,971
74,7,971
7,75,745
75,7,745
7,76,1051
76,7,1051
7,77,737
77,7,737
7,78,787
78,7,787
7,79,902
79,7,902
8,9,547
9,8,547
8,10,331
10,8,331
8,11,117
11,8,117
8,12,101
12,8,101
8,13,322
13,8,322
8,14,491
14,8,491
8,15,409
15,8,409
8,16,239
16,8,239
8,17,630
17,8,630
8,18,234
18,8,234
8,19,121
19,8,121
8,20,206
20,8,206
8,21,146
21,8,146
8,22,346
22,8,346
8,23,327
23,8,327
8,24,557
24,8,557
8,25,228
25,8,228
8,26,474
26,8,474
8,27,655
27,8,655
8,28,223
28,8,223
8,29,331
29,8,331
8,30,428
30,8,428
8,31,287
31,8,287
8,32,247
32,8,247
8,33,344
33,8,344
8,34,587
34,8,587
8,35,319
35,8,319
8,36,533
36,8,533
8,37,317
37,8,317
8,38,454
38,8,454
8,39,387
39,8,387
8,40,470
40,8,470
8,41,671
41,8,671
8,42,361
42,8,361
8,43,422
43,8,422
8,44,401
44,8,401
8,45,550
45,8,550
8,46,414
46,8,414
8,47,628
47,8,628
8,48,494
48,8,494
8,49,468
49,8,468
8,50,521
50,8,521
8,51,489
51,8,489
8,52,736
52,8,736
8,53,500
53,8,500
8,54,655
54,8,655
8,55,593
55,8,593
8,56,506
56,8,506
8,57,740
57,8,740
8,58,586
58,8,586
8,59,627
59,8,627
8,60,586
60,8,586
8,61,589
61,8,589
8,62,576
62,8,576
8,63,697
63,8,697
8,64,771
64,8,771
8,65,848
65,8,848
8,66,643
66,8,643
8,67,669
67,8,669
8,68,638
68,8,638
8,69,690
69,8,690
8,70,706
70,8,706
8,71,733
71,8,733
8,72,745
72,8,745
8,73,793
73,8,793
8,74,854
74,8,854
8,75,723
75,8,723
8,76,923
76,8,923
8,77,770
77,8,770
8,78,742
78,8,742
8,79,821
79,8,821
9,10,219
10,9,219
9,11,654
11,9,654
9,12,461
12,9,461
9,13,864
13,9,864
9,14,84
14,9,84
9,15,161
15,9,161
9,16,331
16,9,331
9,17,120
17,9,120
9,18,764
18,9,764
9,19,599
19,9,599
9,20,417
20,9,417
9,21,521
21,9,521
9,22,266
22,9,266
9,23,845
23,9,845
9,24,153
24,9,153
9,25,718
25,9,718
9,26,204
26,9,204
9,27,214
27,9,214
9,28,643
28,9,643
9,29,355
29,9,355
9,30,295
30,9,295
9,31,449
31,9,449
9,32,542
32,9,542
9,33,813
33,9,813
9,34,264
34,9,264
9,35,734
35,9,734
9,36,325
36,9,325
9,37,642
37,9,642
9,38,389
38,9,389
9,39,453
39,9,453
9,40,926
40,9,926
9,41,354
41,9,354
9,42,553
42,9,553
9,43,834
43,9,834
9,44,741
44,9,741
9,45,436
45,9,436
9,46,660
46,9,660
9,47,412
47,9,412
9,48,498
48,9,498
9,49,566
49,9,566
9,50,914
50,9,914
9,51,828
51,9,828
9,52,448
52,9,448
9,53,659
53,9,659
9,54,511
54,9,511
9,55,553
55,9,553
9,56,764
56,9,764
9,57,520
57,9,520
9,58,925
58,9,925
9,59,1004
59,9,1004
9,60,639
60,9,639
9,61,866
61,9,866
9,62,750
62,9,750
9,63,612
63,9,612
9,64,609
64,9,609
9,65,608
65,9,608
9,66,746
66,9,746
9,67,974
67,9,974
9,68,841
68,9,841
9,69,679
69,9,679
9,70,944
70,9,944
9,71,771
71,9,771
9,72,1072
72,9,1072
9,73,712
73,9,712
9,74,701
74,9,701
9,75,892
75,9,892
9,76,708
76,9,708
9,77,1045
77,9,1045
9,78,848
78,9,848
9,79,798
79,9,798
10,11,435
11,10,435
10,12,242
12,10,242
10,13,646
13,10,646
10,14,159
14,10,159
10,15,82
15,10,82
10,16,115
16,10,115
10,17,299
17,10,299
10,18,545
18,10,545
10,19,380
19,10,380
10,20,206
20,10,206
10,21,304
21,10,304
10,22,106
22,10,106
10,23,626
23,10,626
10,24,239
24,10,239
10,25,501
25,10,501
10,26,180
26,10,180
10,27,339
27,10,339
10,28,430
28,10,430
10,29,190
29,10,190
10,30,201
30,10,201
10,31,263
31,10,263
10,32,341
32,10,341
10,33,599
33,10,599
10,34,302
34,10,302
10,35,525
35,10,525
10,36,294
36,10,294
10,37,445
37,10,445
10,38,287
38,10,287
10,39,304
39,10,304
10,40,716
40,10,716
10,41,402
41,10,402
10,42,380
42,10,380
10,43,630
43,10,630
10,44,548
44,10,548
10,45,373
45,10,373
10,46,484
46,10,484
10,47,404
47,10,404
10,48,387
48,10,387
10,49,427
49,10,427
10,50,716
50,10,716
10,51,639
51,10,639
10,52,487
52,10,487
10,53,509
53,10,509
10,54,476
54,10,476
10,55,471
55,10,471
10,56,593
56,10,593
10,57,527
57,10,527
10,58,740
58,10,740
10,59,812
59,10,812
10,60,527
60,10,527
10,61,695
61,10,695
10,62,603
62,10,603
10,63,558
63,10,558
10,64,592
64,10,592
10,65,632
65,10,632
10,66,625
66,10,625
10,67,800
67,10,800
10,68,692
68,10,692
10,69,598
69,10,598
10,70,788
70,10,788
10,71,676
71,10,676
10,72,894
72,10,894
10,73,665
73,10,665
10,74,687
74,10,687
10,75,756
75,10,756
10,76,725
76,10,725
10,77,882
77,10,882
10,78,732
78,10,732
10,79,730
79,10,730
11,12,192
12,11,192
11,13,210
13,11,210
11,14,591
14,11,591
11,15,507
15,11,507
11,16,331
16,11,331
11,17,729
17,11,729
11,18,117
18,11,117
11,19,87
19,11,87
11,20,271
20,11,271
11,21,172
21,11,172
11,22,431
22,11,431
11,23,210
23,11,210
11,24,648
24,11,648
11,25,126
25,11,126
11,26,558
26,11,558
11,27,743
27,11,743
11,28,169
28,11,169
11,29,394
29,11,394
11,30,498
30,11,498
11,31,325
31,11,325
11,32,249
32,11,249
11,33,240
33,11,240
11,34,663
34,11,663
11,35,241
35,11,241
11,36,597
36,11,597
11,37,279
37,11,279
11,38,503
38,11,503
11,39,420
39,11,420
11,40,364
40,11,364
11,41,739
41,11,739
11,42,363
42,11,363
11,43,332
43,11,332
11,44,340
44,11,340
11,45,593
45,11,593
11,46,385
46,11,385
11,47,682
47,11,682
11,48,519
48,11,519
11,49,473
49,11,473
11,50,431
50,11,431
11,51,418
51,11,418
11,52,793
52,11,793
11,53,483
53,11,483
11,54,692
54,11,692
11,55,614
55,11,614
11,56,459
56,11,459
11,57,785
57,11,785
11,58,507
58,11,507
11,59,536
59,11,536
11,60,586
60,11,586
11,61,528
61,11,528
11,62,545
62,11,545
11,63,718
63,11,718
11,64,802
64,11,802
11,65,890
65,11,890
11,66,625
66,11,625
11,67,595
67,11,595
11,68,594
68,11,594
11,69,695
69,11,695
11,70,648
70,11,648
11,71,723
71,11,723
11,72,663
72,11,663
11,73,805
73,11,805
11,74,878
74,11,878
11,75,682
75,11,682
11,76,957
76,11,957
11,77,699
77,11,699
11,78,715
78,11,715
11,79,819
79,11,819
12,13,403
13,12,403
12,14,399
14,12,399
12,15,315
15,12,315
12,16,140
16,12,140
12,17,537
17,12,537
12,18,303
18,12,303
12,19,144
19,12,144
12,20,109
20,12,109
12,21,99
21,12,99
12,22,246
22,12,246
12,23,388
23,12,388
12,24,459
24,12,459
12,25,268
25,12,268
12,26,373
26,12,373
12,27,556
27,12,556
12,28,221
28,12,221
12,29,232
29,12,232
12,30,327
30,12,327
12,31,201
31,12,201
12,32,192
32,12,192
12,33,376
33,12,376
12,34,485
34,12,485
12,35,324
35,12,324
12,36,432
36,12,432
12,37,285
37,12,285
12,38,357
38,12,357
12,39,299
39,12,299
12,40,500
40,12,500
12,41,570
41,12,570
12,42,295
42,12,295
12,43,432
43,12,432
12,44,383
44,12,383
12,45,455
45,12,455
12,46,368
46,12,368
12,47,529
47,12,529
12,48,406
48,12,406
12,49,393
49,12,393
12,50,528
50,12,528
12,51,476
51,12,476
12,52,636
52,12,636
12,53,439
53,12,439
12,54,561
54,12,561
12,55,506
55,12,506
12,56,470
56,12,470
12,57,643
57,12,643
12,58,577
58,12,577
12,59,632
59,12,632
12,60,511
60,12,511
12,61,562
61,12,562
12,62,523
62,12,523
12,63,610
63,12,610
12,64,679
64,12,679
12,65,752
65,12,752
12,66,580
66,12,580
12,67,653
67,12,653
12,68,595
68,12,595
12,69,611
69,12,611
12,70,674
70,12,674
12,71,662
71,12,662
12,72,738
72,12,738
12,73,709
73,12,709
12,74,764
74,12,764
12,75,676
75,12,676
12,76,829
76,12,829
12,77,749
77,12,749
12,78,683
78,12,683
12,79,745
79,12,745
13,14,802
14,13,802
13,15,717
15,13,717
13,16,540
16,13,540
13,17,938
17,13,938
13,18,109
18,13,109
13,19,276
19,13,276
13,20,472
20,13,472
13,21,366
21,13,366
13,22,636
22,13,636
13,23,103
23,13,103
13,24,854
24,13,854
13,25,193
25,13,193
13,26,762
26,13,762
13,27,948
27,13,948
13,28,295
28,13,295
13,29,589
29,13,589
13,30,694
30,13,694
13,31,507
31,13,507
13,32,412
32,13,412
13,33,214
33,13,214
13,34,861
34,13,861
13,35,294
35,13,294
13,36,787
36,13,787
13,37,391
37,13,391
13,38,685
38,13,685
13,39,592
39,13,592
13,40,285
40,13,285
13,41,930
41,13,930
13,42,508
42,13,508
13,43,323
43,13,323
13,44,399
44,13,399
13,45,766
45,13,766
13,46,489
46,13,489
13,47,862
47,13,862
13,48,678
48,13,678
13,49,613
49,13,613
13,50,400
50,13,400
13,51,439
51,13,439
13,52,975
52,13,975
13,53,593
53,13,593
13,54,856
54,13,856
13,55,764
55,13,764
13,56,523
56,13,523
13,57,955
57,13,955
13,58,498
58,13,498
13,59,489
59,13,489
13,60,711
60,13,711
13,61,557
61,13,557
13,62,629
62,13,629
13,63,863
63,13,863
13,64,957
64,13,957
13,65,1055
65,13,1055
13,66,722
66,13,722
13,67,588
67,13,588
13,68,649
68,13,649
13,69,821
69,13,821
13,70,672
70,13,672
13,71,827
71,13,827
13,72,628
72,13,628
13,73,937
73,13,937
13,74,1023
74,13,1023
13,75,736
75,13,736
13,76,1110
76,13,1110
13,77,691
77,13,691
13,78,793
78,13,793
13,79,931
79,13,931
14,15,85
15,14,85
14,16,262
16,14,262
14,17,140
17,14,140
14,18,699
18,14,699
14,19,531
19,14,531
14,20,342
20,14,342
14,21,449
21,14,449
14,22,185
22,14,185
14,23,776
23,14,776
14,24,105
24,14,105
14,25,647
25,14,647
14,26,123
26,14,123
14,27,196
27,14,196
14,28,567
28,14,567
14,29,272
29,14,272
14,30,211
30,14,211
14,31,367
31,14,367
14,32,463
32,14,463
14,33,738
33,14,738
14,34,206
34,14,206
14,35,655
35,14,655
14,36,251
36,14,251
14,37,560
37,14,560
14,38,306
38,14,306
14,39,368
39,14,368
14,40,848
40,14,848
14,41,305
41,14,305
14,42,469
42,14,469
14,43,755
43,14,755
14,44,659
44,14,659
14,45,359
45,14,359
14,46,576
46,14,576
14,47,346
47,14,346
14,48,415
48,14,415
14,49,481
49,14,481
14,50,832
50,14,832
14,51,745
51,14,745
14,52,398
52,14,398
14,53,574
53,14,574
14,54,441
54,14,441
14,55,475
55,14,475
14,56,680
56,14,680
14,57,461
57,14,461
14,58,841
58,14,841
14,59,921
59,14,921
14,60,557
60,14,557
14,61,782
61,14,782
14,62,665
62,14,665
14,63,539
63,14,539
14,64,545
64,14,545
14,65,556
65,14,556
14,66,663
66,14,663
14,67,890
67,14,890
14,68,757
68,14,757
14,69,602
69,14,602
14,70,859
70,14,859
14,71,692
71,14,692
14,72,987
72,14,987
14,73,642
73,14,642
14,74,639
74,14,639
14,75,809
75,14,809
14,76,655
76,14,655
14,77,961
77,14,961
14,78,766
78,14,766
14,79,724
79,14,724
15,16,177
16,15,177
15,17,221
17,15,221
15,18,614
18,15,614
15,19,446
19,15,446
15,20,258
20,15,258
15,21,363
21,15,363
15,22,106
22,15,106
15,23,691
23,15,691
15,24,156
24,15,156
15,25,562
25,15,562
15,26,110
26,15,110
15,27,256
27,15,256
15,28,483
28,15,483
15,29,198
29,15,198
15,30,163
30,15,163
15,31,289
31,15,289
15,32,381
32,15,381
15,33,654
33,15,654
15,34,227
34,15,227
15,35,573
35,15,573
15,36,237
36,15,237
15,37,481
37,15,481
15,38,259
38,15,259
15,39,303
39,15,303
15,40,765
40,15,765
15,41,328
41,15,328
15,42,397
42,15,397
15,43,673
43,15,673
15,44,581
44,15,581
15,45,331
45,15,331
15,46,504
46,15,504
15,47,344
47,15,344
15,48,367
48,15,367
15,49,423
49,15,423
15,50,753
50,15,753
15,51,669
51,15,669
15,52,417
52,15,417
15,53,512
53,15,512
15,54,426
54,15,426
15,55,440
55,15,440
15,56,610
56,15,610
15,57,465
57,15,465
15,58,767
58,15,767
15,59,844
59,15,844
15,60,510
60,15,510
15,61,713
61,15,713
15,62,605
62,15,605
15,63,517
63,15,517
15,64,539
64,15,539
15,65,568
65,15,568
15,66,613
66,15,613
15,67,820
67,15,820
15,68,696
68,15,696
15,69,568
69,15,568
15,70,796
70,15,796
15,71,653
71,15,653
15,72,916
72,15,916
15,73,622
73,15,622
15,74,634
74,15,634
15,75,753
75,15,753
15,76,664
76,15,664
15,77,895
77,15,895
15,78,719
78,15,719
15,79,696
79,15,696
16,17,398
17,16,398
16,18,436
18,16,436
16,19,269
19,16,269
16,20,92
20,16,92
16,21,189
21,16,189
16,22,108
22,16,108
16,23,514
23,16,514
16,24,318
24,16,318
16,25,387
25,16,387
16,26,234
26,16,234
16,27,416
27,16,416
16,28,314
28,16,314
16,29,131
29,16,131
16,30,202
30,16,202
16,31,166
31,16,166
16,32,229
32,16,229
16,33,484
33,16,484
16,34,350
34,16,350
16,35,410
35,16,410
16,36,309
36,16,309
16,37,334
37,16,334
16,38,257
38,16,257
16,39,236
39,16,236
16,40,600
40,16,600
16,41,440
41,16,440
16,42,286
42,16,286
16,43,516
43,16,516
16,44,438
44,16,438
16,45,355
45,16,355
16,46,385
46,16,385
16,47,413
47,16,413
16,48,336
48,16,336
16,49,354
49,16,354
16,50,603
50,16,603
16,51,531
51,16,531
16,52,513
52,16,513
16,53,426
53,16,426
16,54,463
54,16,463
16,55,431
55,16,431
16,56,494
56,16,494
16,57,533
57,16,533
16,58,632
58,16,632
16,59,701
59,16,701
16,60,465
60,16,465
16,61,595
61,16,595
16,62,518
62,16,518
16,63,529
63,16,529
16,64,582
64,16,582
16,65,642
65,16,642
16,66,553
66,16,553
16,67,697
67,16,697
16,68,602
68,16,602
16,69,551
69,16,551
16,70,694
70,16,694
16,71,619
71,16,619
16,72,789
72,16,789
16,73,634
73,16,634
16,74,673
74,16,673
16,75,674
75,16,674
16,76,727
76,16,727
16,77,783
77,16,783
16,78,661
78,16,661
16,79,686
79,16,686
17,18,834
18,17,834
17,19,665
19,17,665
17,20,472
20,17,472
17,21,580
21,17,580
17,22,308
22,17,308
17,23,908
23,17,908
17,24,106
24,17,106
17,25,778
25,17,778
17,26,200
26,17,200
17,27,106
27,17,106
17,28,692
28,17,692
17,29,382
29,17,382
17,30,295
30,17,295
17,31,480
31,17,480
17,32,581
32,17,581
17,33,863
33,17,863
17,34,196
34,17,196
17,35,775
35,17,775
17,36,283
36,17,283
17,37,672
37,17,672
17,38,375
38,17,375
17,39,458
39,17,458
17,40,968
40,17,968
17,41,265
41,17,265
17,42,567
42,17,567
17,43,869
43,17,869
17,44,766
44,17,766
17,45,395
45,17,395
17,46,672
46,17,672
17,47,345
47,17,345
17,48,477
48,17,477
17,49,557
49,17,557
17,50,940
50,17,940
17,51,847
51,17,847
17,52,355
